Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Quantity
15.6,Low Fat,0.0,Baking Goods,111.8544,OUT018,2009,Medium,Tier 3,Supermarket Type2,1454.1072,13.0
18.85,Low Fat,0.141524348,Canned,168.4132,OUT013,1987,High,Tier 3,Supermarket Type1,2874.9244,17.07065954450126
6.865,Regular,0.035895934,Frozen Foods,244.4486,OUT049,1999,Medium,Tier 1,Supermarket Type1,6353.0636,25.989363817178745
11.65,Low Fat,0.039980644,Snack Foods,227.3694,OUT049,1999,Medium,Tier 1,Supermarket Type1,4567.388,20.087962584235168
,Low Fat,0.0,Health and Hygiene,123.473,OUT019,1985,Small,Tier 1,Grocery Store,369.519,2.9927109570513393
20.5,Low Fat,0.0,Fruits and Vegetables,90.883,OUT010,1998,,Tier 3,Grocery Store,89.883,0.9889968420936809
20.35,Low Fat,0.054056927,Snack Foods,116.8466,OUT046,1997,Small,Tier 1,Supermarket Type1,2356.932,20.171164586731663
10.895,Regular,0.009636821,Dairy,121.873,OUT049,1999,Medium,Tier 1,Supermarket Type1,2463.46,20.213336834245485
7.3,Low Fat,0.086266286,Frozen Foods,147.2076,OUT049,1999,Medium,Tier 1,Supermarket Type1,1921.4988,13.052986394724185
11.1,Low Fat,0.033081389,Household,116.5124,OUT013,1987,High,Tier 3,Supermarket Type1,1066.6116,9.154489994198043
7.06,Regular,0.043989429,Starchy Foods,60.2904,OUT045,2002,,Tier 2,Supermarket Type1,644.4944,10.689834534187865
9.8,Low Fat,0.047178116,Baking Goods,99.4016,OUT035,2004,Small,Tier 2,Supermarket Type1,2428.8384,24.434600650291344
9.5,Low Fat,0.074496043,Snack Foods,251.9724,OUT045,2002,,Tier 2,Supermarket Type1,2516.724,9.988093934097545
17.6,Regular,0.039189221,Snack Foods,97.341,OUT013,1987,High,Tier 3,Supermarket Type1,965.41,9.917814692678316
11.8,Low Fat,0.115819014,Soft Drinks,198.3084,OUT017,2007,,Tier 2,Supermarket Type1,4563.3932,23.011598096701906
9.695,Regular,0.129008866,Baking Goods,226.9404,OUT017,2007,,Tier 2,Supermarket Type1,2700.4848,11.899533093270303
16.5,Regular,0.160371305,Snack Foods,143.9128,OUT018,2009,Medium,Tier 3,Supermarket Type2,1581.9408,10.992356482536648
,Regular,0.085392428,Fruits and Vegetables,226.7694,OUT027,1985,Medium,Tier 3,Supermarket Type3,6165.9738,27.190501893112565
9.0,Low Fat,0.038925251,Soft Drinks,34.919,OUT046,1997,Small,Tier 1,Supermarket Type1,476.047,13.632893267275698
12.6,Regular,0.041557653,Fruits and Vegetables,124.5072,OUT046,1997,Small,Tier 1,Supermarket Type1,2450.144,19.678733438708765
,Low Fat,0.060237465,Hard Drinks,115.9834,OUT019,1985,Small,Tier 1,Grocery Store,345.5502,2.9793073836428317
14.35,Regular,0.091098018,Frozen Foods,233.5984,OUT045,2002,,Tier 2,Supermarket Type1,1853.5872,7.9349310611716515
13.6,Low Fat,0.117874024,Snack Foods,193.6136,OUT045,2002,,Tier 2,Supermarket Type1,4471.5128,23.0950346463265
13.85,Low Fat,0.030795085,Soft Drinks,143.3154,OUT046,1997,Small,Tier 1,Supermarket Type1,1985.4156,13.853470038809506
16.1,Regular,0.063689583,Dairy,181.9318,OUT017,2007,,Tier 2,Supermarket Type1,5954.2494,32.72792002277776
18.25,Regular,0.184041545,Dairy,110.157,OUT018,2009,Medium,Tier 3,Supermarket Type2,1867.569,16.953702442876985
12.15,Regular,0.13283066,Fruits and Vegetables,190.6872,OUT017,2007,,Tier 2,Supermarket Type1,2269.0464,11.89931154267303
15.35,Low Fat,0.020441939,Soft Drinks,216.4508,OUT017,2007,,Tier 2,Supermarket Type1,5426.27,25.069299813167707
,Low Fat,0.037712875,Meat,64.4826,OUT027,1985,Medium,Tier 3,Supermarket Type3,2518.7214,39.06048143220031
15.35,Low Fat,0.013840784,Frozen Foods,65.2168,OUT045,2002,,Tier 2,Supermarket Type1,958.752,14.700997289042085
18.25,Low Fat,0.060198496,Starchy Foods,162.9526,OUT013,1987,High,Tier 3,Supermarket Type1,1151.1682,7.064435915720278
11.8,Low Fat,0.008559557,Health and Hygiene,117.2492,OUT035,2004,Small,Tier 2,Supermarket Type1,2432.8332,20.749252020482867
9.27,Low Fat,0.061883353,Dairy,147.905,OUT049,1999,Medium,Tier 1,Supermarket Type1,1647.855,11.141306919982421
,Low Fat,0.052085615,Meat,242.8512,OUT027,1985,Medium,Tier 3,Supermarket Type3,5816.4288,23.95058702612958
12.8,Regular,0.039385992,Meat,224.8404,OUT010,1998,,Tier 3,Grocery Store,1575.2828,7.006226638984809
15.0,Low Fat,0.064241345,Hard Drinks,45.206,OUT049,1999,Medium,Tier 1,Supermarket Type1,792.302,17.526478786001856
12.5,Low Fat,0.006759519,Household,42.8112,OUT013,1987,High,Tier 3,Supermarket Type1,639.168,14.929924879470793
17.35,Low Fat,0.167243769,Household,176.2712,OUT013,1987,High,Tier 3,Supermarket Type1,2988.1104,16.951778849863167
7.975,Low Fat,0.01469075,Baking Goods,84.725,OUT018,2009,Medium,Tier 3,Supermarket Type2,1747.725,20.62820891118324
10.5,Regular,0.013551445,Snack Foods,142.0154,OUT018,2009,Medium,Tier 3,Supermarket Type2,2410.8618,16.97605893445359
,Low Fat,0.105085956,Fruits and Vegetables,82.3908,OUT027,1985,Medium,Tier 3,Supermarket Type3,3691.1952,44.80106031255917
14.35,Low Fat,0.017038777,Health and Hygiene,112.5228,OUT046,1997,Small,Tier 1,Supermarket Type1,1989.4104,17.680064840192387
12.35,Regular,0.038718195,Fruits and Vegetables,110.657,OUT017,2007,,Tier 2,Supermarket Type1,2087.283,18.862638603974442
10.195,Regular,0.075291577,Fruits and Vegetables,119.1808,OUT010,1998,,Tier 3,Grocery Store,351.5424,2.949656320481151
18.5,Regular,0.0,Frozen Foods,148.7418,OUT045,2002,,Tier 2,Supermarket Type1,2501.4106,16.81713277639507
11.5,Low Fat,0.0,Snack Foods,119.5124,OUT018,2009,Medium,Tier 3,Supermarket Type2,829.5868,6.9414286718365625
12.5,Regular,0.082085787,Fruits and Vegetables,92.2488,OUT018,2009,Medium,Tier 3,Supermarket Type2,1358.232,14.723573639982307
,Low Fat,0.095931002,Soft Drinks,198.5768,OUT027,1985,Medium,Tier 3,Supermarket Type3,6897.688,34.73561866240165
10.695,Regular,0.011448629,Snack Foods,72.9038,OUT045,2002,,Tier 2,Supermarket Type1,1034.6532,14.19203388575081
14.15,Low Fat,0.00879232,Household,195.011,OUT035,2004,Small,Tier 2,Supermarket Type1,1964.11,10.071790822056192
17.6,Low Fat,0.049167388,Snack Foods,114.9176,OUT045,2002,,Tier 2,Supermarket Type1,1946.7992,16.94082716659589
,Low Fat,0.079046992,Health and Hygiene,39.8506,OUT027,1985,Medium,Tier 3,Supermarket Type3,1480.0734,37.140554972823494
6.215,Regular,0.049580407,Baking Goods,227.4062,OUT013,1987,High,Tier 3,Supermarket Type1,5191.2426,22.828060976349807
18.1,Low Fat,0.022399592,Fruits and Vegetables,96.0094,OUT046,1997,Small,Tier 1,Supermarket Type1,1808.9786,18.841682168620988
11.65,Low Fat,0.033926852,Seafood,111.586,OUT045,2002,,Tier 2,Supermarket Type1,3395.58,30.430161489792628
7.42,Regular,0.021617397,Seafood,185.0582,OUT045,2002,,Tier 2,Supermarket Type1,5201.2296,28.105912626406177
20.0,Low Fat,0.0814536,Others,36.819,OUT049,1999,Medium,Tier 1,Supermarket Type1,768.999,20.885928460849016
17.75,Low Fat,0.07607772,Baking Goods,112.4544,OUT049,1999,Medium,Tier 1,Supermarket Type1,2348.9424,20.88795458425815
14.0,Regular,0.135775701,Frozen Foods,54.564,OUT046,1997,Small,Tier 1,Supermarket Type1,1597.92,29.285243017374093
15.35,Regular,0.0,Fruits and Vegetables,193.0504,OUT049,1999,Medium,Tier 1,Supermarket Type1,2492.7552,12.912458093844924
6.13,Low Fat,0.076891526,Dairy,61.5536,OUT045,2002,,Tier 2,Supermarket Type1,796.2968,12.93664058641574
9.695,Regular,0.128543405,Baking Goods,226.5404,OUT045,2002,,Tier 2,Supermarket Type1,4500.808,19.867573289355892
20.25,Regular,0.014793357,Dairy,191.5162,OUT046,1997,Small,Tier 1,Supermarket Type1,3078.6592,16.075189461779214
,Regular,0.066406853,Frozen Foods,259.7962,OUT027,1985,Medium,Tier 3,Supermarket Type3,5697.9164,21.93225459032888
15.85,Regular,0.007140468,Snack Foods,40.848,OUT013,1987,High,Tier 3,Supermarket Type1,679.116,16.625440658049353
19.85,Regular,0.020858779,Snack Foods,62.8194,OUT013,1987,High,Tier 3,Supermarket Type1,928.791,14.785098233985043
4.61,Low Fat,0.123346085,Hard Drinks,172.5396,OUT017,2007,,Tier 2,Supermarket Type1,3663.2316,21.23125126058018
7.365,Low Fat,0.159937597,Snack Foods,93.912,OUT035,2004,Small,Tier 2,Supermarket Type1,1304.968,13.895646988670244
,Low Fat,0.067128641,Soft Drinks,242.8486,OUT027,1985,Medium,Tier 3,Supermarket Type3,3420.8804,14.0864736300724
18.85,Low Fat,0.042736348,Canned,255.933,OUT045,2002,,Tier 2,Supermarket Type1,3844.995,15.023443635639016
,Regular,0.172629683,Meat,148.4708,OUT027,1985,Medium,Tier 3,Supermarket Type3,3761.77,25.336766556117432
11.3,Low Fat,0.007278512,Meat,196.7426,OUT035,2004,Small,Tier 2,Supermarket Type1,2768.3964,14.071158966080553
7.405,Low Fat,0.0,Dairy,205.7296,OUT017,2007,,Tier 2,Supermarket Type1,4570.0512,22.21387296723466
15.7,Regular,0.03079807,Snack Foods,252.9724,OUT017,2007,,Tier 2,Supermarket Type1,3020.0688,11.938333193660652
7.72,Low Fat,0.12152072,Fruits and Vegetables,118.244,OUT046,1997,Small,Tier 1,Supermarket Type1,958.752,8.108250735766719
6.65,Low Fat,0.053591345,Canned,149.7734,OUT017,2007,,Tier 2,Supermarket Type1,2375.5744,15.861123537290332
10.6,Low Fat,0.035163639,Health and Hygiene,84.4224,OUT013,1987,High,Tier 3,Supermarket Type1,852.224,10.094761579865061
,Low Fat,0.061470858,Household,48.6034,OUT019,1985,Small,Tier 1,Grocery Store,145.8102,3.0
15.85,Low Fat,0.043226398,Starchy Foods,37.5164,OUT035,2004,Small,Tier 2,Supermarket Type1,270.3148,7.205243573477199
12.15,Low Fat,0.062640143,Starchy Foods,36.6532,OUT017,2007,,Tier 2,Supermarket Type1,251.6724,6.866314537339169
11.35,Regular,0.06358394,Dairy,89.4856,OUT017,2007,,Tier 2,Supermarket Type1,1142.5128,12.76756036725462
20.1,Low Fat,0.077389797,Health and Hygiene,60.8536,OUT013,1987,High,Tier 3,Supermarket Type1,1347.5792,22.144609357540062
15.7,Regular,0.00878535,Meat,204.998,OUT017,2007,,Tier 2,Supermarket Type1,5366.348,26.17756270792886
,Regular,0.136592891,Meat,238.0248,OUT019,1985,Small,Tier 1,Grocery Store,711.0744,2.987396271312905
16.7,Regular,0.054937907,Starchy Foods,64.2168,OUT017,2007,,Tier 2,Supermarket Type1,1661.8368,25.878536457749373
6.115,Regular,0.007084185,Soft Drinks,191.153,OUT017,2007,,Tier 2,Supermarket Type1,3415.554,17.868168430524243
20.7,Low Fat,0.027052013,Household,73.9354,OUT017,2007,,Tier 2,Supermarket Type1,1655.1788,22.386824173535274
9.8,Regular,0.072863893,Snack Foods,118.6098,OUT035,2004,Small,Tier 2,Supermarket Type1,843.5686,7.112132387037158
,Low Fat,0.244102315,Snack Foods,148.076,OUT019,1985,Small,Tier 1,Grocery Store,146.476,0.9891947378373268
20.35,Low Fat,0.141789197,Snack Foods,121.9072,OUT035,2004,Small,Tier 2,Supermarket Type1,1347.5792,11.054139542209155
,Low Fat,0.035414528,Breads,218.2166,OUT027,1985,Medium,Tier 3,Supermarket Type3,3701.1822,16.96104787628439
6.85,Low Fat,0.022864238,Frozen Foods,260.0594,OUT013,1987,High,Tier 3,Supermarket Type1,6018.1662,23.141506132829655
20.35,Low Fat,0.054011943,Snack Foods,116.5466,OUT013,1987,High,Tier 3,Supermarket Type1,1885.5456,16.17846938477828
9.195,Regular,0.117462619,Snack Foods,158.9578,OUT035,2004,Small,Tier 2,Supermarket Type1,2246.4092,14.13211053499734
9.695,Low Fat,0.11411658,Health and Hygiene,158.8604,OUT049,1999,Medium,Tier 1,Supermarket Type1,4436.8912,27.92949784842541
,Low Fat,0.046124444,Frozen Foods,206.7954,OUT019,1985,Small,Tier 1,Grocery Store,833.5816,4.030948464037401
11.65,Regular,0.075849167,Snack Foods,85.1908,OUT046,1997,Small,Tier 1,Supermarket Type1,2181.1608,25.60324354272997
6.035,Regular,0.065729039,Baking Goods,188.324,OUT013,1987,High,Tier 3,Supermarket Type1,1491.392,7.919288035513264
18.2,Low Fat,0.097865088,Household,221.8456,OUT010,1998,,Tier 3,Grocery Store,884.1824,3.9855755534479838
,Low Fat,0.058827583,Household,110.4912,OUT019,1985,Small,Tier 1,Grocery Store,436.7648,3.9529374285010928
7.63,Low Fat,0.061313057,Soft Drinks,93.3436,OUT018,2009,Medium,Tier 3,Supermarket Type2,1323.6104,14.179980202177761
6.385,Regular,0.123961415,Snack Foods,33.2874,OUT045,2002,,Tier 2,Supermarket Type1,141.1496,4.240331176361026
9.6,Regular,0.014270394,Snack Foods,187.3872,OUT018,2009,Medium,Tier 3,Supermarket Type2,2647.2208,14.127009742394357
20.5,Low Fat,0.060847634,Frozen Foods,75.0696,OUT010,1998,,Tier 3,Grocery Store,149.1392,1.9866790285281926
,Low Fat,0.0,Fruits and Vegetables,253.0356,OUT027,1985,Medium,Tier 3,Supermarket Type3,11445.102,45.23119276497063
18.35,Low Fat,0.014103354,Household,225.4746,OUT017,2007,,Tier 2,Supermarket Type1,1346.2476,5.970728410206736
19.6,Low Fat,0.033901442,Soft Drinks,56.2614,OUT046,1997,Small,Tier 1,Supermarket Type1,773.6596,13.751161542371856
14.15,Regular,0.024454052,Fruits and Vegetables,197.211,OUT045,2002,,Tier 2,Supermarket Type1,3731.809,18.922925191799646
,Regular,0.0,Dairy,55.9298,OUT019,1985,Small,Tier 1,Grocery Store,107.8596,1.9284817753684083
,Regular,0.096730427,Snack Foods,159.0262,OUT027,1985,Medium,Tier 3,Supermarket Type3,5887.6694,37.0232666063831
17.6,Low Fat,0.097198194,Dairy,89.8856,OUT035,2004,Small,Tier 2,Supermarket Type1,351.5424,3.9109979796541383
19.0,Regular,0.066005186,Fruits and Vegetables,188.4214,OUT017,2007,,Tier 2,Supermarket Type1,2826.321,14.999999999999998
8.42,Regular,0.030890618,Canned,228.7352,OUT049,1999,Medium,Tier 1,Supermarket Type1,5954.9152,26.03410056694379
9.3,Low Fat,0.028498354,Baking Goods,195.8136,OUT013,1987,High,Tier 3,Supermarket Type1,2332.9632,11.914204120653519
19.75,Low Fat,0.033883448,Snack Foods,213.2902,OUT035,2004,Small,Tier 2,Supermarket Type1,4247.804,19.915607936979757
6.78,Low Fat,0.066565644,Fruits and Vegetables,185.324,OUT013,1987,High,Tier 3,Supermarket Type1,3914.904,21.124646564934924
,Low Fat,0.169943195,Health and Hygiene,116.2492,OUT019,1985,Small,Tier 1,Grocery Store,115.8492,0.9965591161057452
17.25,Low Fat,0.0,Soft Drinks,263.591,OUT045,2002,,Tier 2,Supermarket Type1,788.973,2.9931712387752234
15.3,Regular,0.084765192,Canned,215.0218,OUT046,1997,Small,Tier 1,Supermarket Type1,1923.4962,8.945586912582817
15.7,Regular,0.027617046,Canned,168.279,OUT046,1997,Small,Tier 1,Supermarket Type1,4074.696,24.213930436952918
17.85,Low Fat,0.052166995,Snack Foods,121.7072,OUT035,2004,Small,Tier 2,Supermarket Type1,2817.6656,23.151182510155518
,Regular,0.0,Dairy,184.2608,OUT027,1985,Medium,Tier 3,Supermarket Type3,6064.1064,32.91045301008136
15.3,Low Fat,0.038460297,Household,104.0332,OUT010,1998,,Tier 3,Grocery Store,205.0664,1.9711630517950038
16.25,Low Fat,0.025789175,Fruits and Vegetables,166.9474,OUT045,2002,,Tier 2,Supermarket Type1,2863.6058,17.15274272016216
15.0,Regular,0.161301097,Canned,185.1266,OUT013,1987,High,Tier 3,Supermarket Type1,2213.1192,11.95462564536917
13.85,Low Fat,0.034640466,Hard Drinks,116.1492,OUT045,2002,,Tier 2,Supermarket Type1,1274.3412,10.971588267504211
,Low Fat,0.0,Dairy,89.1856,OUT027,1985,Medium,Tier 3,Supermarket Type3,2109.2544,23.6501677400836
13.8,Regular,0.064307102,Fruits and Vegetables,77.3012,OUT049,1999,Medium,Tier 1,Supermarket Type1,1593.9252,20.619669552348476
7.475,Low Fat,0.076036381,Household,153.9656,OUT018,2009,Medium,Tier 3,Supermarket Type2,2625.9152,17.055207137178694
18.7,Regular,0.071091591,Frozen Foods,228.601,OUT017,2007,,Tier 2,Supermarket Type1,4823.721,21.101049426730416
12.5,Low Fat,0.187841082,Canned,119.244,OUT010,1998,,Tier 3,Grocery Store,119.844,1.0050316997081614
15.85,Low Fat,0.043234574,Starchy Foods,38.3164,OUT046,1997,Small,Tier 1,Supermarket Type1,540.6296,14.109613638024449
,Low Fat,0.026055106,Fruits and Vegetables,169.5474,OUT027,1985,Medium,Tier 3,Supermarket Type3,4211.185,24.837803469708177
20.75,Low Fat,0.109153001,Snack Foods,161.3578,OUT018,2009,Medium,Tier 3,Supermarket Type2,4492.8184,27.843825337231916
5.82,Low Fat,0.08062523,Household,168.379,OUT035,2004,Small,Tier 2,Supermarket Type1,1188.453,7.0582020323199455
5.785,Regular,0.0901292,Fruits and Vegetables,89.8856,OUT010,1998,,Tier 3,Grocery Store,175.7712,1.9554989898270692
13.1,Regular,0.098938169,Frozen Foods,195.7768,OUT049,1999,Medium,Tier 1,Supermarket Type1,4138.6128,21.139444510279052
10.1,Regular,0.0,Fruits and Vegetables,225.1088,OUT013,1987,High,Tier 3,Supermarket Type1,3579.3408,15.900492561818995
16.75,Low Fat,0.032580547,Health and Hygiene,192.1162,OUT035,2004,Small,Tier 2,Supermarket Type1,3848.324,20.031231098678823
,Low Fat,0.097937252,Meat,98.9042,OUT027,1985,Medium,Tier 3,Supermarket Type3,4960.21,50.15166191122318
17.1,Regular,0.0,Fruits and Vegetables,208.5638,OUT049,1999,Medium,Tier 1,Supermarket Type1,5383.6588,25.813006859291978
7.42,Low Fat,0.020391845,Snack Foods,248.9092,OUT046,1997,Small,Tier 1,Supermarket Type1,2241.0828,9.003615776355394
7.51,Low Fat,0.103813029,Snack Foods,113.7544,OUT046,1997,Small,Tier 1,Supermarket Type1,671.1264,5.899784096263529
,Low Fat,0.031069203,Canned,179.6686,OUT019,1985,Small,Tier 1,Grocery Store,177.7686,0.9894249746477681
,Low Fat,0.062294473,Snack Foods,242.417,OUT019,1985,Small,Tier 1,Grocery Store,486.034,2.004950147885668
19.2,Regular,0.022914478,Fruits and Vegetables,181.195,OUT035,2004,Small,Tier 2,Supermarket Type1,2380.235,13.13631722729656
18.6,Low Fat,0.152058281,Breakfast,99.9358,OUT046,1997,Small,Tier 1,Supermarket Type1,201.0716,2.0120077089491453
7.105,Low Fat,0.044991294,Household,59.2562,OUT018,2009,Medium,Tier 3,Supermarket Type2,651.8182,11.0
4.92,Low Fat,0.046214971,Baking Goods,199.8084,OUT017,2007,,Tier 2,Supermarket Type1,3968.168,19.859865751389833
11.0,Regular,0.13312044,Canned,221.5798,OUT035,2004,Small,Tier 2,Supermarket Type1,4187.2162,18.897102533714715
7.68,Low Fat,0.255348289,Health and Hygiene,84.4224,OUT010,1998,,Tier 3,Grocery Store,170.4448,2.018952315973012
13.15,Low Fat,0.036879539,Frozen Foods,181.3976,OUT017,2007,,Tier 2,Supermarket Type1,3078.6592,16.971884964299417
7.52,Regular,0.044202545,Baking Goods,182.995,OUT018,2009,Medium,Tier 3,Supermarket Type2,4394.28,24.013115112434765
8.895,Regular,0.137858955,Frozen Foods,162.1236,OUT049,1999,Medium,Tier 1,Supermarket Type1,2577.9776,15.901309864819188
4.805,Regular,0.037668051,Dairy,126.7704,OUT013,1987,High,Tier 3,Supermarket Type1,2628.5784,20.73495390091062
,Low Fat,0.224837308,Fruits and Vegetables,112.7886,OUT019,1985,Small,Tier 1,Grocery Store,222.3772,1.9716283383249724
7.785,Low Fat,0.089069748,Fruits and Vegetables,62.751,OUT018,2009,Medium,Tier 3,Supermarket Type2,1707.777,27.215136013768706
8.975,Regular,0.053027398,Canned,86.0224,OUT017,2007,,Tier 2,Supermarket Type1,1278.336,14.860501450784911
,Low Fat,0.118099673,Household,262.891,OUT027,1985,Medium,Tier 3,Supermarket Type3,5522.811,21.007988101532572
9.3,Low Fat,0.0,Frozen Foods,182.9292,OUT017,2007,,Tier 2,Supermarket Type1,4013.4424,21.939867445984564
10.895,Low Fat,0.137023446,Dairy,263.7568,OUT049,1999,Medium,Tier 1,Supermarket Type1,7646.0472,28.98900502280889
15.0,Regular,0.026950104,Baking Goods,220.9456,OUT018,2009,Medium,Tier 3,Supermarket Type2,1768.3648,8.0036208007763
12.15,Low Fat,0.0,Health and Hygiene,224.4404,OUT018,2009,Medium,Tier 3,Supermarket Type2,5626.01,25.066832887483717
16.7,Regular,0.119362812,Fruits and Vegetables,180.3976,OUT013,1987,High,Tier 3,Supermarket Type1,3078.6592,17.065965400870077
15.1,Regular,0.067350054,Snack Foods,257.3304,OUT018,2009,Medium,Tier 3,Supermarket Type2,3874.956,15.058290819895356
8.02,Low Fat,0.0,Household,157.7972,OUT013,1987,High,Tier 3,Supermarket Type1,1713.7692,10.860580542620527
19.35,Regular,0.049712775,Fruits and Vegetables,78.2644,OUT049,1999,Medium,Tier 1,Supermarket Type1,1492.7236,19.072830047888953
20.7,Regular,0.122208091,Frozen Foods,119.7466,OUT017,2007,,Tier 2,Supermarket Type1,4006.7844,33.46052748052972
,Low Fat,0.138742518,Snack Foods,147.476,OUT027,1985,Medium,Tier 3,Supermarket Type3,3368.948,22.844042420461633
4.59,Low Fat,0.070780558,Soft Drinks,114.586,OUT046,1997,Small,Tier 1,Supermarket Type1,1245.046,10.865603127781753
18.1,Low Fat,0.037492325,Fruits and Vegetables,95.5094,OUT010,1998,,Tier 3,Grocery Store,95.2094,0.9968589479150743
12.85,Low Fat,0.053527105,Health and Hygiene,185.1608,OUT049,1999,Medium,Tier 1,Supermarket Type1,2388.8904,12.90170705678524
16.75,Low Fat,0.076164013,Health and Hygiene,34.0532,OUT017,2007,,Tier 2,Supermarket Type1,575.2512,16.89272080156931
14.85,Regular,0.009995002,Snack Foods,154.463,OUT017,2007,,Tier 2,Supermarket Type1,3755.112,24.310754031709862
8.235,Low Fat,0.08259502,Baking Goods,149.1076,OUT045,2002,,Tier 2,Supermarket Type1,1182.4608,7.930251710845055
6.425,Low Fat,0.063122753,Breakfast,131.3626,OUT013,1987,High,Tier 3,Supermarket Type1,262.3252,1.9969549932781478
6.59,Low Fat,0.105597316,Fruits and Vegetables,83.4908,OUT046,1997,Small,Tier 1,Supermarket Type1,1342.2528,16.07665515242398
,Regular,0.021863506,Fruits and Vegetables,247.0092,OUT027,1985,Medium,Tier 3,Supermarket Type3,5478.2024,22.178131016982366
,Low Fat,0.063800266,Health and Hygiene,123.0414,OUT027,1985,Medium,Tier 3,Supermarket Type3,4629.9732,37.62939303356432
6.36,Low Fat,0.006012413,Household,163.0526,OUT017,2007,,Tier 2,Supermarket Type1,1644.526,10.08586186298164
17.35,Regular,0.063207198,Baking Goods,89.383,OUT017,2007,,Tier 2,Supermarket Type1,1258.362,14.07831466833738
8.6,Low Fat,0.069809115,Household,90.5146,OUT017,2007,,Tier 2,Supermarket Type1,729.7168,8.061868472047603
17.7,Low Fat,0.011660463,Frozen Foods,96.541,OUT018,2009,Medium,Tier 3,Supermarket Type2,2220.443,23.000000000000004
7.6,Regular,0.142410775,Starchy Foods,171.9448,OUT046,1997,Small,Tier 1,Supermarket Type1,3749.7856,21.80807794129279
19.6,Low Fat,0.024226902,Dairy,48.7718,OUT046,1997,Small,Tier 1,Supermarket Type1,236.359,4.846222612247241
,Low Fat,0.082440705,Household,61.3194,OUT027,1985,Medium,Tier 3,Supermarket Type3,2043.3402,33.32289944128612
9.3,Low Fat,0.066918731,Frozen Foods,184.2292,OUT045,2002,,Tier 2,Supermarket Type1,1641.8628,8.912066056846582
20.2,Low Fat,0.074390007,Household,91.4462,OUT045,2002,,Tier 2,Supermarket Type1,1943.4702,21.2526075441079
11.35,Regular,0.005530516,Fruits and Vegetables,171.179,OUT046,1997,Small,Tier 1,Supermarket Type1,4923.591,28.762821374117156
16.5,Low Fat,0.028579565,Snack Foods,90.3146,OUT017,2007,,Tier 2,Supermarket Type1,2554.0088,28.2790246538212
17.1,Low Fat,0.038705317,Household,165.0842,OUT013,1987,High,Tier 3,Supermarket Type1,2320.9788,14.059363645945522
4.88,Regular,0.0,Baking Goods,53.1298,OUT035,2004,Small,Tier 2,Supermarket Type1,808.947,15.225861945650086
10.195,Low Fat,0.108004532,Snack Foods,148.7076,OUT017,2007,,Tier 2,Supermarket Type1,1330.2684,8.945530692446114
12.8,Regular,0.023626808,Meat,223.2404,OUT018,2009,Medium,Tier 3,Supermarket Type2,2475.4444,11.088693623555592
,Low Fat,0.070660449,Fruits and Vegetables,180.4002,OUT019,1985,Small,Tier 1,Grocery Store,716.4008,3.9711751982536603
8.05,Regular,0.078719835,Fruits and Vegetables,258.5646,OUT018,2009,Medium,Tier 3,Supermarket Type2,3091.9752,11.958230941126512
20.6,Regular,0.046208155,Snack Foods,178.0344,OUT018,2009,Medium,Tier 3,Supermarket Type2,1605.9096,9.020220811258946
6.32,Low Fat,0.012769753,Meat,39.9822,OUT018,2009,Medium,Tier 3,Supermarket Type2,78.5644,1.9649844180660396
5.465,Regular,0.048486801,Baking Goods,131.2626,OUT013,1987,High,Tier 3,Supermarket Type1,3410.2276,25.98019237772222
18.25,Low Fat,0.132596101,Frozen Foods,226.2062,OUT010,1998,,Tier 3,Grocery Store,677.1186,2.9933688820200333
14.5,Regular,0.128459481,Baking Goods,102.0332,OUT049,1999,Medium,Tier 1,Supermarket Type1,2050.664,20.098007315266013
15.7,Low Fat,0.161317495,Household,57.5562,OUT018,2009,Medium,Tier 3,Supermarket Type2,829.5868,14.413508883491268
9.6,Low Fat,0.011211251,Household,166.9184,OUT010,1998,,Tier 3,Grocery Store,660.4736,3.956865150876117
20.7,Regular,0.114294512,Dairy,94.9436,OUT049,1999,Medium,Tier 1,Supermarket Type1,1229.0668,12.945230642191786
6.055,Low Fat,0.031103357,Fruits and Vegetables,159.9578,OUT046,1997,Small,Tier 1,Supermarket Type1,2727.7826,17.053139015415315
5.655,Low Fat,0.085274988,Fruits and Vegetables,165.05,OUT046,1997,Small,Tier 1,Supermarket Type1,2330.3,14.118751893365648
6.78,Low Fat,0.066892471,Fruits and Vegetables,186.424,OUT018,2009,Medium,Tier 3,Supermarket Type2,1304.968,7.0
,Low Fat,0.078764059,Dairy,241.3854,OUT019,1985,Small,Tier 1,Grocery Store,483.3708,2.0024856515762757
6.865,Regular,0.036042939,Frozen Foods,244.4486,OUT017,2007,,Tier 2,Supermarket Type1,4153.9262,16.99304557277072
6.61,Regular,0.04855968,Snack Foods,188.4898,OUT010,1998,,Tier 3,Grocery Store,187.0898,0.992572542386909
,Low Fat,0.082602127,Baking Goods,120.9756,OUT027,1985,Medium,Tier 3,Supermarket Type3,3877.6192,32.05290323007284
12.6,Low Fat,0.064240743,Health and Hygiene,121.9414,OUT045,2002,,Tier 2,Supermarket Type1,1462.0968,11.990159207619397
6.055,Low Fat,0.031230059,Fruits and Vegetables,160.3578,OUT018,2009,Medium,Tier 3,Supermarket Type2,1765.0358,11.006859660085135
